Timestamp;EURAEDFIXMP=WM;EURBAMFIXMP=WM;EURCNYFIXMP=WM;EURILSFIXMP=WM;EURINRFIXMP=WM;EURJODFIXMP=WM;EURKESFIXMP=WM;EURKRWFIXMP=WM;EURKWDFIXMP=WM;EURMADFIXMP=WM;EURMDLFIXMP=WM;EURMKDFIXMP=WM;EURMXNFIXMP=WM;EURPHPFIXMP=WM;EURRSDFIXMP=WM;EURSARFIXMP=WM;EURTHBFIXMP=WM;EURTNDFIXMP=WM;EURTWDFIXMP=WM
2025-09-24 11:00:00;4,3165;;8,3733;3,936;104,254;0,8333;151,84;1645,34;0,359;10,6397;;61,5154;21,6203;67,5386;117,1845;4,4087;37,6264;3,4075;35,6708
2025-09-25 10:00:00;4,3143;;8,3664;3,9333;104,1561;0,8326;151,76;1646,18;0,3588;10,6048;;61,597;21,6381;68,2475;117,2033;4,4057;37,7317;3,4119;35,7547
2025-09-25 11:00:00;4,3154;;8,3688;3,9263;104,1827;0,8328;151,8;1646,63;0,3588;10,6092;;61,6022;21,6482;68,265;117,206;4,4069;37,7589;3,4125;35,7638
2025-09-26 10:00:00;4,2893;;8,3309;3,933;103,6002;0,8275;150,9;1647,63;0,357;10,6201;;61,6085;21,5748;67,9284;117,1938;4,3798;37,6522;3,4072;35,6488
2025-09-26 11:00:00;4,2838;;8,3232;3,9295;103,4671;0,8264;150,71;1646,83;0,3567;10,6234;;61,5876;21,5821;67,8411;117,1833;4,3742;37,633;3,4058;35,603
2025-09-29 10:00:00;4,304;;8,3469;3,8849;104,0089;0,8303;151,4;1641,8;0,358;10,6398;;61,5961;21,5039;68,12;117,2279;4,395;37,7999;3,409;35,6719
2025-09-29 11:00:00;4,3046;;8,3501;3,8943;104,0222;0,8304;151,42;1642,32;0,358;10,6407;;61,5989;21,5115;68,1287;117,2292;4,3954;37,8036;3,4096;35,6765
2025-09-30 10:00:00;4,315;;8,3682;3,8792;104,3133;0,8328;151,78;1648,41;0,3589;10,6751;;61,5985;21,5478;68,3813;117,2154;4,4057;38,0682;3,4116;35,7903
2025-09-30 11:00:00;4,3139;;8,3658;3,8877;104,2866;0,8326;151,75;1648,83;0,3589;10,68;;61,5971;21,5342;68,3639;117,2086;4,4046;38,0503;3,4116;35,7811
2025-10-01 10:00:00;4,3096;;8,3589;3,8871;104,0849;0,8319;151,63;1649,77;0,3586;10,6696;;61,598;21,4595;68,2412;117,2018;4,4012;37,9609;3,406;35,7329
2025-10-01 11:00:00;4,3063;;8,3525;3,8874;104,0051;0,8313;151,52;1648,25;0,3584;10,6666;;61,5977;21,4416;68,1889;117,1612;4,3978;37,9611;3,4044;35,7054
2025-10-02 10:00:00;4,3176;;8,373;3,8923;104,2609;0,8334;151,87;1648,99;0,3593;10,6875;;61,6396;21,5959;68,321;117,1945;4,4087;38,0451;3,4112;35,7456
2025-10-02 11:00:00;4,3166;;8,3709;3,8898;104,2342;0,8332;151,84;1648,4;0,3592;10,6864;;61,6436;21,5959;68,3036;117,1908;4,4076;38,0259;3,411;35,7365
2025-10-03 10:00:00;4,3108;;8,3593;3,8885;104,1986;0,8316;151,64;1650,96;0,359;10,6935;;61,6442;21,5853;67,9236;117,1836;4,4017;38,0227;3,411;35,6506
2025-10-03 11:00:00;4,3106;;8,359;3,8807;104,1942;0,8316;151,63;1650,69;0,3589;10,6855;;61,6409;21,5728;67,9207;117,1854;4,4014;38,0129;3,412;35,6491
2025-10-06 10:00:00;4,2846;;8,3079;3,8255;103,5734;0,8269;150,71;1649,78;0,3572;10,6567;;61,597;21,5075;68,0685;117,1553;4,375;37,8541;3,4044;35,6716
2025-10-06 11:00:00;4,284;;8,3068;3,8241;103,5601;0,8268;150,69;1649,94;0,3572;10,6562;;61,5977;21,5047;68,0598;117,159;4,3745;37,8609;3,4054;35,667
2025-10-07 10:00:00;4,2846;;8,3074;3,8198;103,5641;0,8269;150,71;1649,02;0,3572;10,6424;;61,6255;21,4336;67,8168;117,1701;4,3757;37,9334;3,4066;35,5736
2025-10-07 11:00:00;4,2879;;8,3138;3,8229;103,644;0,8276;150,83;1649,72;0,3575;10,6451;;61,6333;21,4534;67,8691;117,1635;4,379;37,9674;3,4087;35,601
2025-10-08 10:00:00;4,264;;8,267;3,8093;103,0847;0,8232;150,02;1657,59;0,3562;10,6017;;61,6099;21,3824;67,2793;117,1634;4,3557;37,7757;3,4017;35,4937
2025-10-08 11:00:00;4,2721;;8,2827;3,813;103,28;0,8247;150,31;1657,85;0,3568;10,6007;;61,6428;21,4069;67,4068;117,1628;4,3639;37,8356;3,4085;35,5609
2025-10-09 10:00:00;4,2702;;8,282;3,7702;103,2273;0,8241;150,21;1648,97;0,3567;10,5923;;61,6276;21,2941;67,7568;117,1876;4,3608;37,8845;3,4105;35,4872
2025-10-09 11:00:00;4,2668;;8,2747;3,7687;103,1473;0,8234;150,09;1647,65;0,3565;10,6047;;61,605;21,2761;67,7043;117,1687;4,3574;37,8435;3,4083;35,4597
2025-10-10 10:00:00;4,2517;;8,2472;3,7721;102,6654;0,8201;149,59;1645,75;0,3554;10,6;;61,547;21,3034;67,4238;117,1688;4,3417;37,8762;3,4068;35,3979
2025-10-10 11:00:00;4,2504;;8,2427;3,7717;102,6344;0,8199;149,54;1645,28;0,3553;10,6045;;61,5406;21,296;67,4034;117,1696;4,3405;37,8508;3,4058;35,3872
2025-10-13 10:00:00;4,2585;;8,269;3,7932;102,8119;0,8218;149,85;1654,05;0,3558;10,6164;;61,5986;21,4182;67,5274;117,176;4,3481;37,7153;3,4056;35,5913
2025-10-13 11:00:00;4,2546;;8,2617;3,7924;102,7188;0,821;149,72;1653,27;0,3555;10,6173;;61,6009;21,3922;67,4662;117,1789;4,3442;37,6684;3,4051;35,559
2025-10-14 10:00:00;4,2445;;8,252;3,8406;102,6159;0,8191;149,3;1656,68;0,3548;10,6234;;61,5976;21,5029;67,3061;117,1723;4,3338;37,8991;3,4025;35,5601
2025-10-14 11:00:00;4,2437;;8,2505;3,8518;102,5981;0,8191;149,28;1657,53;0,3547;10,6227;;61,5998;21,5214;67,2944;117,1775;4,3332;37,8902;3,4015;35,554
2025-10-15 10:00:00;4,2735;;8,2919;3,8252;102,4215;0,8248;150,32;1655,24;0,3571;10,6596;;61,5986;21,4615;67,5401;117,1875;4,3644;37,8649;3,41;35,5554
2025-10-15 11:00:00;4,2691;;8,2838;3,8254;102,3159;0,824;150,17;1654,07;0,3568;10,672;;61,6002;21,4434;67,4705;117,1806;4,3599;37,8445;3,4095;35,5187
2025-10-16 10:00:00;4,282;;8,3074;3,8492;102,3751;0,8263;150,63;1652,71;0,3566;10,7575;;61,5928;21,4943;67,7716;117,1649;4,3727;37,9491;3,4103;35,7166
2025-10-16 11:00:00;4,2809;;8,3051;3,8458;102,3487;0,8262;150,59;1651,0;0,3565;10,7431;;61,5971;21,4659;67,7541;117,1818;4,3716;37,9347;3,4104;35,7074
2025-10-17 10:00:00;4,2976;;8,3384;3,8843;102,9429;0,8293;151,18;1664,57;0,3576;10,7055;;61,5927;21,673;68,0867;117,1886;4,3883;38,2209;3,4123;35,8971
2025-10-17 11:00:00;4,2936;;8,3304;3,883;102,8505;0,8286;151,04;1663,26;0,3574;10,6931;;61,596;21,6431;68,0256;117,1865;4,3843;38,2427;3,4155;35,8649
2025-10-20 10:00:00;4,2831;;8,3058;3,8579;102,5457;0,8266;150,78;1658,65;0,3569;10,7336;;61,5941;21,4648;67,8231;117,2016;4,3736;38,1373;3,4107;35,6827
2025-10-20 11:00:00;4,2804;;8,3007;3,8617;102,4842;0,8262;150,69;1657,41;0,3567;10,7266;;61,5949;21,4394;67,7823;117,1833;4,3709;38,1319;3,4093;35,6612
2025-10-21 10:00:00;4,2688;;8,2734;3,8271;102,1964;0,824;150,19;1661,92;0,356;10,7056;;61,5892;21,4116;67,6904;117,1973;4,3587;38,069;3,4075;35,6307
