Timestamp;EURAED=R;EURBAM=R;EURCNY=;EURILS=TRB;EURINR=;EURJOD=R;EURKES=;EURKRW=R;EURKWD=R;EURMAD=;EURMDL=R;EURMKD=R;EURMXN=TRB;EURPHP=R;EURRSD=R;EURSAR=R;EURTHB=;EURTNDX=R;EURTWD=R
2025-10-02 10:00:00+00:00;4,3169;1,96075;;3,8911;104,2861;0,8333;151,925;1648,005;0,35925;10,6827;19,65;61,645;21,5962;68,3115;117,165;4,40775;38,0505;3,40635;35,75265
2025-10-02 11:00:00+00:00;4,3166;1,96075;;3,8901;;0,8332;151,835;1648,1;0,35925;10,6823;19,65;61,64;21,5977;68,288;117,17;4,40735;38,0255;3,40645;35,75075
2025-10-03 10:00:00+00:00;4,31105;1,96075;;3,8863;104,2017;0,8322;151,705;1650,175;0,35895;10,6897;19,66;61,63;21,5828;67,9795;117,175;4,402;38,0175;3,40635;35,6679
2025-10-03 11:00:00+00:00;4,31055;1,9608;;3,8827;;0,83215;151,645;1650,03;0,35905;10,6816;19,66;61,645;21,5735;67,988;117,17;4,40185;38,0085;3,425;35,66055
2025-10-06 10:00:00+00:00;4,28495;1,9607;;3,8254;103,5801;0,82715;150,665;1649,12;0,35655;10,65755;19,56;61,64;21,5131;68,0155;117,17;4,3752;37,8575;3,40205;35,6116
2025-10-06 11:00:00+00:00;4,28385;1,96065;;3,8244;;0,8269;150,635;1649,205;0,35645;10,6523;19,555;61,63;21,5042;68,043;117,165;4,3741;37,861;3,4017;35,60485
2025-10-07 10:00:00+00:00;4,28555;1,96075;;3,8218;103,5818;0,8272;150,74;1648,49;0,3573;10,6391;19,585;61,64;21,4359;67,808;117,175;4,3765;37,9295;3,40985;35,5007
2025-10-07 11:00:00+00:00;4,28755;1,96075;;3,8224;;0,82765;150,815;1649,08;0,3575;10,6409;19,47;61,635;21,4521;67,83;117,175;4,37855;37,96935;3,4037;35,51395
2025-10-08 10:00:00+00:00;4,26435;1,9608;;3,8101;103,0728;0,82315;150,345;1657,47;0,3547;10,5983;19,705;61,565;21,3853;67,347;117,18;4,355;37,7755;3,39935;35,5533
2025-10-08 11:00:00+00:00;4,2732;1,96095;;3,815;103,2327;0,82485;150,245;1657,585;0,3554;10,6024;19,75;61,7;21,4057;67,4745;117,17;4,3642;37,84;3,4297;35,5853
2025-10-09 10:00:00+00:00;4,27;1,96055;8,28205;3,7694;103,219;0,82425;150,55;1649,01;0,35515;10,5879;19,71;61,65;21,2943;67,6395;117,17;4,3605;37,8775;3,42865;35,45895
2025-10-09 11:00:00+00:00;4,2673;1,9607;8,2761;3,7677;;0,8237;150,05;1646,9;0,3549;10,601;19,695;61,61;21,2809;67,6165;117,17;4,3577;37,8405;3,4005;35,4314
2025-10-10 10:00:00+00:00;4,251;1,9607;8,245;3,7723;102,6362;0,8206;149,47;1645,495;0,3554;10,5999;19,655;61,37;21,2989;67,394;117,17;4,3408;37,868;3,40825;35,3937
2025-10-10 11:00:00+00:00;4,25025;1,96075;8,24185;3,7712;102,6597;0,8204;149,445;1645,2;0,3553;10,6049;19,645;61,36;21,2947;67,336;117,17;4,3402;37,8485;3,3969;35,3752
2025-10-13 10:00:00+00:00;4,25885;1,9609;8,27045;3,795;;0,8221;149,8;1654,395;0,35575;10,61695;19,625;61,615;21,4246;67,584;117,15;4,3486;37,7245;3,39775;35,56885
2025-10-13 11:00:00+00:00;4,2557;1,9612;8,26275;3,7939;102,7204;0,8215;149,745;1653,66;0,35555;10,614;19,61;61,57;21,3965;67,5105;117,155;4,3453;37,674;3,3965;35,54275
2025-10-14 10:00:00+00:00;4,24455;1,96085;8,25105;3,8411;102,609;0,8193;149,295;1656,97;0,3548;10,6191;19,41;61,41;21,5006;67,352;117,12;4,33385;37,896;3,39425;35,559
2025-10-14 11:00:00+00:00;4,24295;1,96065;8,2487;3,8515;102,5876;0,819;149,595;1657,1;0,35465;10,6176;19,41;61,38;21,5176;67,2875;117,115;4,3322;37,8895;3,4229;35,58095
2025-10-15 10:00:00+00:00;4,2724;1,9607;8,29025;3,8247;102,4657;0,8247;150,36;1654,91;0,3571;10,6495;19,68;61,61;21,4563;67,644;117,1;4,3625;37,8685;3,4007;35,5707
2025-10-15 11:00:00+00:00;4,2704;1,96065;8,286;3,8281;102,3224;0,8243;150,27;1654,395;0,3569;10,6736;19,67;61,58;21,4517;67,619;117,125;4,3604;37,84;3,3999;35,56195
2025-10-16 10:00:00+00:00;4,282;1,9607;8,30735;3,8493;102,3864;0,82655;150,625;1653,515;0,3565;10,7559;19,67;61,635;21,4945;67,7265;117,19;4,3723;37,9475;3,41235;35,73175
2025-10-16 11:00:00+00:00;4,2809;1,96075;8,3045;3,8461;102,4518;0,82635;150,645;1650,885;0,3564;10,7346;19,66;61,64;21,464;67,6825;117,195;4,3712;37,9345;3,41175;35,70975
2025-10-17 10:00:00+00:00;4,29725;1,96075;8,337;3,8844;102,9322;0,82955;151,11;1664,685;0,3576;10,7054;19,735;61,635;21,6731;68,066;117,18;4,3881;38,2125;3,4155;35,9026
