Timestamp;EUR=TRB;EURGBP=TRB;EURCHF=TRB;EURCZK=TRB;EURHUF=TRB;EURPLN=TRB;EURAUD=TRB;EURCAD=TRB;EURDKK=TRB;EURHKD=TRB;EURJPY=TRB;EURNOK=TRB;EURNZD=TRB;EURRON=TRB;EURSEK=TRB;EURSGD=TRB;EURTRY=TRB;EURZAR=TRB
2025-09-25 11:00:00+00:00;1,17455;0,8736;0,9346;24,285;390,625;4,2626;1,7823;1,63195;7,4639;9,1346;174,8;11,6819;2,0192;5,0752;11,0443;1,5137;48,712;20,3366
2025-09-26 10:00:00+00:00;1,16775;0,87465;0,9338;24,303;391,225;4,2671;1,78925;1,6291;7,4635;9,0858;174,925;11,7259;2,0274;5,0773;11,0582;1,5102;48,5475;20,3815
2025-09-26 11:00:00+00:00;1,1665;0,87395;0,93345;24,322;392,06;4,2717;1,7882;1,62805;7,4635;9,075;174,84;11,7099;2,026;5,0781;11,0489;1,5095;48,4789;20,3883
2025-09-29 10:00:00+00:00;1,17175;0,8724;0,93375;24,302;391,17;4,2704;1,7843;1,63125;7,4642;9,1196;174,12;11,673;2,0247;5,0784;11,0101;1,512;48,7156;20,2421
2025-09-29 11:00:00+00:00;1,17195;0,87275;0,93475;24,299;391,165;4,2692;1,78575;1,632;7,4643;9,1208;174,24;11,6773;2,0262;5,0769;11,0303;1,5126;48,7371;20,2566
2025-09-30 10:00:00+00:00;1,1749;0,8738;0,9365;24,331;390,575;4,2719;1,7768;1,63485;7,4648;9,1415;173,83;11,7382;2,027;5,0812;11,069;1,5152;48,8636;20,3109
2025-09-30 11:00:00+00:00;1,17485;0,87425;0,93695;24,343;390,465;4,2709;1,77735;1,63535;7,4648;9,1412;173,91;11,7331;2,0277;5,0806;11,0641;1,5152;48,8521;20,2856
2025-10-01 10:00:00+00:00;1,1732;0,8714;0,93475;24,286;388,715;4,2575;1,7741;1,6339;7,4653;9,13;172,7;11,6917;2,0189;5,0824;11,0409;1,512;48,7876;20,1711
2025-10-01 11:00:00+00:00;1,17265;0,87035;0,9356;24,267;388,305;4,256;1,7739;1,63375;7,4653;9,1255;172,45;11,6653;2,0189;5,0822;11,0299;1,5116;48,7723;20,165
2025-10-02 10:00:00+00:00;1,1753;0,87075;0,9352;24,255;388,955;4,2583;1,7769;1,63775;7,4668;9,1449;172,345;11,6604;2,0138;5,0837;10,9904;1,5125;48,8978;20,2116
2025-10-02 11:00:00+00:00;1,1752;0,87165;0,9348;24,249;388,65;4,2572;1,777;1,63745;7,4667;9,1436;172,315;11,6651;2,0152;5,0825;10,988;1,5122;48,8997;20,1928
2025-10-03 10:00:00+00:00;1,17375;0,87245;0,9354;24,268;388,66;4,2553;1,7767;1,6389;7,4666;9,1342;172,95;11,695;2,0116;5,0889;11,011;1,5131;48,9317;20,2373
2025-10-03 11:00:00+00:00;1,1737;0,8725;0,93495;24,272;388,64;4,2537;1,7774;1,63925;7,4667;9,1341;172,9;11,6784;2,0123;5,0931;11,0091;1,513;48,9153;20,2274
