Timestamp;EUR=TRB;EURCHF=TRB;EURJPY=TRB;EURGBP=TRB;EURCZK=TRB;EURHUF=TRB
2026-07-23 12:00:00;1,1385;0,9298;186,34;0,8533;24,195;364,71
2026-07-23 13:00:00;1,13725;0,92885;186,465;0,85325;24,19;365,015
2026-07-24 12:00:00;1,137;0,9301;186,3;0,85425;24,152;361,925
2026-07-24 13:00:00;1,13765;0,93045;186,33;0,85375;24,138;361,59
2026-07-27 12:00:00;1,13835;0,92915;186,34;0,855;24,159;359,91
2026-07-27 13:00:00;1,1374;0,93085;186,255;0,85455;24,161;360,535
2026-07-28 12:00:00;1,1366;0,93155;186,265;0,8547;24,182;360,655
2026-07-28 13:00:00;1,13725;0,9311;186,32;0,855;24,182;361,2
2026-07-29 12:00:00;1,13785;0,9327;186,375;0,85655;24,191;362,51
2026-07-29 13:00:00;1,1392;0,9323;186,545;0,8569;24,189;362,56
2026-07-30 12:00:00;1,14725;0,93265;186,95;0,85795;24,177;361,9
2026-07-30 13:00:00;1,15235;0,9293;184,09;0,85815;24,175;361,46
2026-07-31 12:00:00;1,14885;0,9313;184,24;0,856;24,214;364,96
2026-07-31 13:00:00;1,14665;0,93185;182,89;0,8552;24,194;364,2
2026-08-03 12:00:00;1,1528;0,9327;180,785;0,8562;24,203;363,965
2026-08-03 13:00:00;1,1527;0,93265;180,36;0,8569;24,197;363,925
2026-08-04 12:00:00;1,1515;0,9314;181,395;0,85655;24,202;362,395
2026-08-04 13:00:00;1,1524;0,93165;181,42;0,85695;24,196;361,73
2026-08-05 12:00:00;1,15455;0,93455;181,995;0,85715;24,189;362,15
2026-08-05 13:00:00;1,15435;0,9328;181,87;0,85735;24,175;361,52
2026-08-06 12:00:00;1,15385;0,93445;182,2;0,85665;24,211;363,945
2026-08-06 13:00:00;1,1543;0,93385;182,225;0,85645;24,233;363,905
2026-08-07 12:00:00;1,15725;0,934;182,145;0,85725;24,253;363,4
2026-08-07 13:00:00;1,15575;0,9341;182,32;0,8568;24,257;363,545
2026-08-10 12:00:00;1,1547;0,9347;183,535;0,85565;24,26;363,935
2026-08-10 13:00:00;1,1545;0,9351;183,59;0,8549;24,264;364,24
2026-08-11 12:00:00;1,15415;0,9357;183,825;0,85495;24,245;364,34
2026-08-11 13:00:00;1,1544;0,9354;183,82;0,85505;24,239;364,355
2026-08-12 12:00:00;1,15595;0,936;183,57;0,8539;24,245;364,15
2026-08-12 13:00:00;1,1552;0,937;183,705;0,8541;24,244;364,04
2026-08-13 12:00:00;1,1544;0,9369;183,755;0,85455;24,23;362,76
2026-08-13 13:00:00;1,1534;0,9372;183,7;0,8545;24,226;363,165
