Timestamp;EURUSDFIXMP=WM;EURCHFFIXMP=WM;EURJPYFIXMP=WM;EURGBPFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM
2025-11-06 10:00:00;1,1513;0,93135;177,0009;0,8803;24,3695;386,575
2025-11-06 11:00:00;1,1511;0,93165;176,97585;0,88005;24,3575;386,625
2025-11-07 10:00:00;1,15385;0,9325;177,09865;0,88095;24,3465;386,2
2025-11-07 11:00:00;1,155;0,93225;177,11925;0,88105;24,345;385,55
2025-11-10 10:00:00;1,15685;0,9324;178,35155;0,87815;24,29;383,2
2025-11-10 11:00:00;1,1562;0,93215;178,25135;0,87855;24,289;383,4
2025-11-11 10:00:00;1,15655;0,9289;178,4846;0,88075;24,2965;386,075
2025-11-11 11:00:00;1,1575;0,92845;178,5386;0,88085;24,284;385,625
2025-11-12 10:00:00;1,1569;0,92475;179,15755;0,88205;24,245;385,45
2025-11-12 11:00:00;1,15705;0,92505;179,19235;0,88165;24,2565;385,4
2025-11-13 10:00:00;1,1617;0,92405;179,5291;0,88295;24,209;383,9
2025-11-13 11:00:00;1,16165;0,92415;179,6608;0,88295;24,2125;383,925
2025-11-14 10:00:00;1,16215;0,9207;179,7788;0,88325;24,189;384,65
2025-11-14 11:00:00;1,16155;0,92045;179,73825;0,8839;24,1875;384,55
2025-11-17 10:00:00;1,16015;0,9216;179,5506;0,88115;24,165;383,95
2025-11-17 11:00:00;1,15965;0,92275;179,566;0,88155;24,1775;384,05
2025-11-18 10:00:00;1,1589;0,92285;179,9076;0,88115;24,171;384,75
2025-11-18 11:00:00;1,15825;0,92355;179,99785;0,88095;24,1815;384,575
2025-11-19 10:00:00;1,15745;0,9276;180,51015;0,88175;24,178;383,5
2025-11-19 11:00:00;1,157;0,9289;180,78125;0,8829;24,186;383,55
2025-11-20 10:00:00;1,1526;0,9284;181,1599;0,88125;24,1755;382,29
2025-11-20 11:00:00;1,1527;0,92975;181,43495;0,88175;24,174;382,35
2025-11-21 10:00:00;1,15265;0,92835;180,6433;0,8826;24,2375;384,3
2025-11-21 11:00:00;1,15195;0,9281;180,6315;0,88185;24,231;383,85
2025-11-24 10:00:00;1,15305;0,9307;180,74635;0,88075;24,212;383,025
2025-11-24 11:00:00;1,15405;0,9306;180,8685;0,88145;24,186;382,475
2025-11-25 10:00:00;1,15345;0,9338;180,2958;0,87825;24,152;382,125
2025-11-25 11:00:00;1,15375;0,93435;180,44075;0,87875;24,1475;382,075
2025-11-26 10:00:00;1,1572;0,93345;181,0555;0,8783;24,172;382,05
2025-11-26 11:00:00;1,1573;0,93355;181,11165;0,87935;24,18;382,05
2025-11-27 10:00:00;1,15775;0,9327;181,0316;0,87615;24,17;381,725
2025-11-27 11:00:00;1,15845;0,93345;181,04835;0,8759;24,158;381,65
2025-11-28 10:00:00;1,1569;0,93285;180,85815;0,8759;24,1795;381,3
2025-11-28 11:00:00;1,156;0,9327;180,6539;0,87525;24,175;381,425
2025-12-01 10:00:00;1,16225;0,9331;180,48;0,8783;24,1505;380,525
2025-12-01 11:00:00;1,1628;0,9335;180,5363;0,8791;24,156;380,575
2025-12-02 10:00:00;1,1611;0,93375;181,09095;0,87875;24,168;380,925
2025-12-02 11:00:00;1,1606;0,9343;181,1;0,87965;24,164;381,275
2025-12-03 10:00:00;1,16465;0,9337;181,2254;0,877;24,133;380,65
